Location,Year,Loc_yr,Treat,MAP,PAR_Above$umol.m-2.s-1,PAR_Below$umol.m-2.s-1,Tau,Beam_Frac_FB,Z_Angle,leaf_angle_distr,kext,LAI,FLI,ln_FLI,FLI_pcent
Edo,2017,Edo_2017,NFPFK2,8,748.3111111,236.1666667,0.378888889,0.248888889,35,5.102803738,0.927018055,1.164838139,0.684400428,1.153281045,68.44004276
Edo,2017,Edo_2017,NFPFK3,8,1257.305556,452.3444444,0.355333333,0.662222222,33.33333333,3.14664311,0.858969734,1.300644661,0.640227117,1.022282328,64.02271172
Edo,2017,Edo_2017,NFPFK4,8,946.85,439.7222222,0.450611111,0.407222222,36.66666667,2.572580645,0.828151356,0.98968967,0.535594633,0.766997471,53.55946325
Edo,2017,Edo_2017,NFPFKF,8,852.5722222,270.7055556,0.315222222,0.328333333,36.77777778,2.575892857,0.82865566,1.421367141,0.682483726,1.147226204,68.24837257
Edo,2017,Edo_2017,NFPFKFMN,8,1194.55,330.4055556,0.2805,0.61,32.83333333,3.086111111,0.854872804,1.593113907,0.723405839,1.285203968,72.34058385
Edo,2017,Edo_2017,NOTFR,8,1205.058824,567.9529412,0.474411765,0.608823529,32.41176471,2.992857143,0.848750049,0.937625218,0.528692766,0.752245096,52.8692766
Edo,2017,Edo_2017,NOTHR,8,857.5388889,496.3,0.575111111,0.329444444,35.83333333,2.386847195,0.811431999,0.6844594,0.421250737,0.546885947,42.12507369
Edo,2017,Edo_2017,NFPFK1,12,NA,NA,NA,NA,NA,NA,NA,3.903636765,0.877776225,NA,NA
Edo,2017,Edo_2017,NFPFKF,12,NA,NA,NA,NA,NA,NA,NA,5.585214281,0.944346259,NA,NA
Edo,2017,Edo_2017,NFPFKFMN,12,NA,NA,NA,NA,NA,NA,NA,6.091094531,0.956371144,NA,NA
Benue,2016,Benue_2016,CONTROL,1,1181.894444,963.5222222,0.808055556,0.447777778,28.38888889,3.541984733,0.87372409,0.261240114,0.184764573,0.204278339,18.47645726
Benue,2016,Benue_2016,N0PFKF,1,1063.233333,877.7277778,0.815833333,0.192777778,21.66666667,3.436363636,0.863834296,0.246179368,0.174473043,0.191733361,17.44730432
Benue,2016,Benue_2016,NFP0KF,1,1025.855556,844.3722222,0.776222222,0.535,30.05555556,3.50310559,0.873379243,0.312446273,0.176909247,0.194688813,17.69092469
Benue,2016,Benue_2016,NFPFK0,1,929,748.7444444,0.808222222,0.010833333,15.08333333,3.178343949,0.845870808,0.255047781,0.194031814,0.215711009,19.40318144
Benue,2016,Benue_2016,NFPFK1,1,1525.655556,1269.555556,0.827444444,0.006666667,29.83333333,3.568345324,0.876175223,0.226802796,0.167862267,0.183757307,16.78622668
Benue,2016,Benue_2016,NFPFK2,1,1183.033333,964.9111111,0.813833333,0.295,27.875,3.224867725,0.857078893,0.251104179,0.184375381,0.203801056,18.43753813
Benue,2016,Benue_2016,NFPFK3,1,1337.527778,1094.533333,0.810222222,0.262222222,21.33333333,3.420731707,0.862828179,0.255648403,0.181674317,0.200494876,18.16743166
Benue,2016,Benue_2016,NFPFK4,1,1497.122222,1249.588889,0.8335,0.47125,31.45833333,3.481884058,0.873761998,0.223586487,0.165339429,0.180730138,16.53394288
Benue,2016,Benue_2016,NFPFKF,1,1275.622222,1069.4,0.833333333,0.596111111,25.83333333,2.866126543,0.832416122,0.231023162,0.161664024,0.176336333,16.16640244
Benue,2016,Benue_2016,NFPFKFMN,1,1338.177778,1089.366667,0.801,0.352777778,18.55555556,3.439597315,0.862373173,0.27121679,0.185932777,0.205712333,18.59327775
Benue,2016,Benue_2016,NOTFR,1,1442.047059,1209.7,0.826470588,0.406666667,28.88888889,3.621428571,0.877740954,0.23269825,0.161123077,0.175691278,16.11230768
Benue,2016,Benue_2016,NOTHR,1,1043.794444,827.8833333,0.795722222,0.451111111,25.22222222,3.351973684,0.861766001,0.281398616,0.206852136,0.231745614,20.68521364
Benue,2016,Benue_2016,CONTROL,2.5,1374.8,850.65,0.612833333,0.421111111,37.44444444,2.418158568,0.818198603,0.611118394,0.381255455,0.480062782,38.12554553
Benue,2016,Benue_2016,N0PFKF,2.5,1402.583333,788.0722222,0.547222222,0.516111111,42.5,2.016637478,0.802455098,0.767492684,0.438128057,0.576481315,43.81280572
Benue,2016,Benue_2016,NFP0KF,2.5,1419.222222,752.85,0.497,0.354444444,38.83333333,1.908931699,0.775471894,0.87780216,0.469533391,0.633998265,46.95333907
Benue,2016,Benue_2016,NFPFK0,2.5,1419.266667,682.0833333,0.476444444,0.346111111,42,1.675031368,0.765906821,0.932570757,0.519411433,0.732743746,51.94114333
Benue,2016,Benue_2016,NFPFK1,2.5,1386.594444,722.9944444,0.512944444,0.416111111,42.11111111,1.708885942,0.770257144,0.848397432,0.478582618,0.651204442,47.85826184
Benue,2016,Benue_2016,NFPFK2,2.5,1413.5,808.9888889,0.586055556,0.675833333,33.5,1.502249719,0.699160973,0.756936653,0.427669693,0.558038995,42.7669693
Benue,2016,Benue_2016,NFPFK3,2.5,1407.988889,719.1166667,0.514666667,0.419444444,43.94444444,1.676975945,0.77851969,0.841764711,0.489259701,0.671894038,48.92597006
Benue,2016,Benue_2016,NFPFK4,2.5,1485.372222,820.6555556,0.546666667,0.505,42.44444444,1.603174603,0.760698981,0.783863943,0.447508481,0.593317195,44.75084807
Benue,2016,Benue_2016,NFPFKF,2.5,1493.794444,714.6,0.450611111,0.375,39.11111111,1.550955414,0.734042806,1.019910164,0.521620928,0.737351823,52.16209279
Benue,2016,Benue_2016,NFPFKFMN,2.5,1317.472222,566.6833333,0.4245,0.375,41.66666667,1.848527349,0.782373057,1.076635991,0.569870754,0.843669544,56.98707541
Benue,2016,Benue_2016,NOTFR,2.5,1341.533333,674.0166667,0.469944444,0.388888889,39.5,1.732603093,0.758748751,0.959439262,0.497577399,0.688313678,49.75773988
Benue,2016,Benue_2016,NOTHR,2.5,1487.277778,900.6833333,0.611944444,0.544444444,42.44444444,1.769067797,0.778524233,0.636178069,0.394408128,0.501548999,39.44081283
Benue,2016,Benue_2016,CONTROL,4,1599.527778,1298.938889,0.791722222,0.73,23.27777778,2.630379747,0.811534467,0.306324274,0.187923519,0.208160755,18.79235191
Benue,2016,Benue_2016,N0PFKF,4,1592.416667,1249.466667,0.775055556,0.791111111,23.66666667,1.873065015,0.72803975,0.365264795,0.215364488,0.242535985,21.53644879
Benue,2016,Benue_2016,NFP0KF,4,1642.072222,1296.816667,0.778166667,0.748333333,22.33333333,1.734256927,0.704417535,0.362559933,0.210256011,0.23604645,21.02560109
